Image,Parent,Numeral,Name,radius,semi_major_axis,orbital_period,Discovery_year,Discovered_by,Notes,Ref(s)
"","Saturn","XXIV (24)","Kiviuq","8","11,110,000","449.22","2000","Gladman","Prograde irregular (Inuit)","[15]"
"","Saturn","XXV (25)","Mundilfari","3.5","18,628,000","952.77 (r)","2000","Gladman, Kavelaars","Retrograde irregular (Norse)","[15]"
"","Saturn","XXVI (26)","Albiorix","16","16,182,000","783.45","2000","Holman, Spahr","Prograde irregular (Gallic)","[15]"
"","Saturn","XXVII (27)","Skathi","4","15,540,000","728.20 (r)","2000","Gladman, Kavelaars","Retrograde irregular (Norse)","[15]"
"","Saturn","XXVIII (28)","Erriapus","5","17,343,000","871.19","2000","Gladman, Kavelaars","Prograde irregular (Gallic)","[15]"
"","Saturn","XXIX (29)","Siarnaq","20","18,015,400","896.44","2000","Gladman, Kavelaars","Prograde irregular (Inuit)","[15]"
"","Saturn","XXX (30)","Thrymr","3.5","20,314,000","1,094.11 (r)","2000","Gladman, Kavelaars","Retrograde irregular (Norse)","[15]"
"","Saturn","XXXI (31)","Narvi","3.5","19,007,000","1,003.86 (r)","2003","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse)","[15]"
"","Saturn","XXXII (32)","Methone","1.45","194,440","1.010","2004","Porco, Charnoz, Brahic, Dones (Cassini–Huygens)","Alkyonide moon",""
"","Saturn","XXXIII (33)","Pallene","2.22","212,280","1.154","2004","Gordon, Murray, Beurle, et al. (Cassini–Huygens)","Alkyonide moon",""
"","Saturn","XXXIV (34)","Polydeuces","1.3","377,200","2.737","2004","Porco et al. (Cassini–Huygens)","Main-group trojan",""
"","Saturn","XXXV (35)","Daphnis","3.8±0.8","136,500","0.594","2005","Porco et al. (Cassini–Huygens)","Inner moon (shepherd)",""
"","Saturn","XXXVI (36)","Aegir","3","20,751,000","1,117.52 (r)","2004","Sheppard, Jewitt, Kleyna, Marsden","Retrograde irregular (Norse)","[15]"
"","Saturn","XXXVII (37)","Bebhionn","3","17,119,000","834.84","2004","Sheppard, Jewitt, Kleyna, Marsden","Prograde irregular (Gallic)","[15]"
"","Saturn","XXXVIII (38)","Bergelmir","3","19,336,000","1,005.74 (r)","2004","Sheppard, Jewitt, Kleyna, Marsden","Retrograde irregular (Norse)","[15]"
"","Saturn","XXXIX (39)","Bestla","3.5","20,192,000","1,088.72 (r)","2004","Sheppard, Jewitt, Kleyna, Marsden","Retrograde irregular (Norse)","[15]"
"","Saturn","XL (40)","Farbauti","2.5","20,377,000","1,085.55 (r)","2004","Sheppard, Jewitt, Kleyna, Marsden","Retrograde irregular (Norse)","[15]"
"","Saturn","XLI (41)","Fenrir","2","22,454,000","1,260.35 (r)","2004","Sheppard, Jewitt, Kleyna, Marsden","Retrograde irregular (Norse)","[15]"
"","Saturn","XLII (42)","Fornjot","3","25,146,000","1,494.2 (r)","2004","Sheppard, Jewitt, Kleyna, Marsden","Retrograde irregular (Norse)","[15]"
"","Saturn","XLIII (43)","Hati","3","19,846,000","1,038.61 (r)","2004","Sheppard, Jewitt, Kleyna, Marsden","Retrograde irregular (Norse)","[15]"
"","Saturn","XLIV (44)","Hyrrokkin","4","18,437,000","931.86 (r)","2004","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse)",""
"","Saturn","XLV (45)","Kari","3.5","22,089,000","1,230.97 (r)","2006","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse)",""
"","Saturn","XLVI (46)","Loge","3","23,058,000","1,311.36 (r)","2006","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse)",""
"","Saturn","XLVII (47)","Skoll","3","17,665,000","878.29 (r)","2006","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse)",""
"","Saturn","XLVIII (48)","Surtur","3","22,704,000","1,297.36 (r)","2006","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse)",""
"","Saturn","XLIX (49)","Anthe","0.9","197,700","1.0365","2007","Porco et al. (Cassini–Huygens)","Alkyonide moon",""
"","Saturn","L (50)","Jarnsaxa","3","18,811,000","964.74 (r)","2006","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse)",""
"","Saturn","LI (51)","Greip","3","18,206,000","921.19 (r)","2006","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse)",""
"","Saturn","LII (52)","Tarqeq","3.5","18,009,000","887.48","2007","Sheppard, Jewitt, Kleyna","Prograde irregular (Inuit)",""
"","Saturn","LIII (53)","Aegaeon","0.33","167,500","0.808","2008","Cassini Imaging Science Team Cassini–Huygens","G-ring moonlet","[39]"
"","Saturn","—","S/2004 S 7","3","20,999,000","1,140.24 (r)","2004","Sheppard, Jewitt, Kleyna, Marsden","Retrograde irregular (Norse?)","[15]"
